anime_id,slug,title,url,thumbnail_url,description,scrape_id,scraped_at,source_url
20698,a-hundred-scenes-of-awajima-20698,A Hundred Scenes of Awajima,https://9animetv.to/watch/a-hundred-scenes-of-awajima-20698,,,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z,https://9animetv.to/home
20683,always-a-catch-the-fish-i-missed-was-big-20683,"Always a Catch!, The Fish I Missed Was Big",https://9animetv.to/watch/always-a-catch-the-fish-i-missed-was-big-20683,,,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z,https://9animetv.to/home
20253,an-adventurers-daily-grind-at-age-29-20253,An Adventurer's Daily Grind at Age 29,https://9animetv.to/watch/an-adventurers-daily-grind-at-age-29-20253,,,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z,https://9animetv.to/home
19874,bang-dream-chan-19874,BanG Dream-chan,https://9animetv.to/watch/bang-dream-chan-19874,,,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z,https://9animetv.to/home
20389,chained-soldier-season-2-20389,Chained Soldier Season 2,https://9animetv.to/watch/chained-soldier-season-2-20389,,,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z,https://9animetv.to/home
20575,classroom-of-the-elite-iv-20575,Classroom of the Elite IV,https://9animetv.to/watch/classroom-of-the-elite-iv-20575,,,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z,https://9animetv.to/home
20301,dead-account-20301,Dead Account,https://9animetv.to/watch/dead-account-20301,https://cdn.noitatnemucod.net/thumbnail/1366x768/100/f804875e4da47f1f88c921dc1385eae4.jpg,"Always ready for a fight! Destruction for destruction's sake! The online streamer Aoringo is a troll, making the worst of the worst of boundary-pushing flamebait content and raking in the revenue from the hate-watchers. You may think he's nothing more than a bottom feeder and a drain on society, but in reality, he's high school dropout Soji Enishiro, a caring older brother with a sweet tooth who loves nothing more than his little sister. His viral videos? Just a way to pay his sister's medical bills. And even if all of humanity hates him, he doesn't care, so long as his little sister gets better. But then, something very strange begins to happen... Don't miss the debut of this modern-day occult exorcism battle manga!",019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z,https://9animetv.to/home
20587,dr-stone-science-future-part-3-20587,Dr. Stone: Science Future Part 3,https://9animetv.to/watch/dr-stone-science-future-part-3-20587,,,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z,https://9animetv.to/home
20269,easygoing-territory-defense-by-the-optimistic-lord-production-magic-turns-a-nameless-village-into-the-strongest-fortified-city-20269,Easygoing Territory Defense by the Optimistic Lord: Production Magic Turns a Nameless Village into the Strongest Fortified City,https://9animetv.to/watch/easygoing-territory-defense-by-the-optimistic-lord-production-magic-turns-a-nameless-village-into-the-strongest-fortified-city-20269,,,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z,https://9animetv.to/home
20141,fabulous-beasts-5th-season-20141,Fabulous Beasts 5th Season,https://9animetv.to/watch/fabulous-beasts-5th-season-20141,,,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z,https://9animetv.to/home
20393,fire-force-season-3-part-2-20393,Fire Force Season 3 Part 2,https://9animetv.to/watch/fire-force-season-3-part-2-20393,https://cdn.noitatnemucod.net/thumbnail/1366x768/100/755aa8b428001345b84a669998474a5c.jpg,"The second cour of Enen no Shouboutai: San no Shou. As chaos spreads, Shinra and Company 8 fight to stop a final, world-ending blaze. After undergoing Benimaru Shinmon's hellish training, Shinra Kusakabe and Arthur Boyle return to Special Fire Force Company 8. However, there is no time to rest: Captain Akitaru Oubi is arrested by the military police under the influence of the White-Clad cult. Moreover, the White-Clad member Haumea—one of the eight pillars who possess Adolla Burst—has successfully brainwashed the leadership of the Tokyo Empire and infiltrated the heart of the firefighting organization. As a result, Shinra and the rest of the Company 8 squad are branded as rebels after they launch a rescue mission to save their captain and ultimately liberate Tokyo.",019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z,https://9animetv.to/home
20409,frieren-beyond-journeys-end-season-2-20409,Frieren: Beyond Journey's End Season 2,https://9animetv.to/watch/frieren-beyond-journeys-end-season-2-20409,https://cdn.noitatnemucod.net/thumbnail/1366x768/100/f8ea0e26f973c16b7a184e61a230306c.jpg,"Following the First-Class Mage Exam, the trio—elven mage Frieren, warrior Stark, and first-class mage Fern—gains access to the dangerous Northern Plateau. As the party presses onward toward Aureole, formidable adversaries force Stark to confront his insecurities, solidifying his resolve and his role as the party's frontliner. Meanwhile, Fern continues to cherish the gifts she has been blessed with throughout her life, each a reminder of those she holds dear. Frieren—still honoring her vow to understand humanity—revisits memories of her journey with the Hero's party and her fleeting encounter with a legendary figure. As she reflects on the passage of time, the elven mage quietly questions whether she has truly changed, yet in the small, almost subtle choices that she makes, there are signs that she might have become more human than she realizes.",019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z,https://9animetv.to/home
13618,fushigi-dagashiya-zenitendou-13618,Fushigi Dagashiya: Zenitendou,https://9animetv.to/watch/fushigi-dagashiya-zenitendou-13618,,,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z,https://9animetv.to/home
20638,gals-cant-be-kind-to-otaku-20638,Gals Can't Be Kind to Otaku!?,https://9animetv.to/watch/gals-cant-be-kind-to-otaku-20638,,,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z,https://9animetv.to/home
20641,go-for-it-nakamura-20641,"Go For It, Nakamura!",https://9animetv.to/watch/go-for-it-nakamura-20641,,,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z,https://9animetv.to/home
20680,haibaras-teenage-new-game-20680,Haibara's Teenage New Game+,https://9animetv.to/watch/haibaras-teenage-new-game-20680,,,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z,https://9animetv.to/home
20305,hell-mode-the-hardcore-gamer-dominates-in-another-world-with-garbage-balancing-20305,Hell Mode: The Hardcore Gamer Dominates in Another World with Garbage Balancing,https://9animetv.to/watch/hell-mode-the-hardcore-gamer-dominates-in-another-world-with-garbage-balancing-20305,,,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z,https://9animetv.to/home
20405,hells-paradise-season-2-20405,Hell's Paradise Season 2,https://9animetv.to/watch/hells-paradise-season-2-20405,https://cdn.noitatnemucod.net/thumbnail/1366x768/100/f2f944d703ff54b7705593f608180b8a.jpg,"Seeking the key to the elixir of immortality, the group arrives at the fortress of the island's monstrous ruler, the ""Tensen."" To survive and escape the island, cooperation becomes essential—regardless of whether one is a condemned criminal or an executioner. Meanwhile, the shogunate orders additional landings on the island of the Immortal Realm, led by Shugen Yamada Asayemon. Among them are the Ishigakure clan, who share a past with Gabimaru. Desperate to find the elixir and escape the island, Gabimaru and his companions face the Tensen in a battle that escalates into an all-out confrontation between humans and immortals!",019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z,https://9animetv.to/home
14124,honto-ni-atta-gakkou-kaidan-14124,Honto ni Atta Gakkou Kaidan,https://9animetv.to/watch/honto-ni-atta-gakkou-kaidan-14124,,,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z,https://9animetv.to/home
20785,in-search-of-gods-20785,In Search of Gods,https://9animetv.to/watch/in-search-of-gods-20785,,,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z,https://9animetv.to/home
20333,jack-of-all-trades-party-of-none-20333,"Jack-of-All-Trades, Party of None",https://9animetv.to/watch/jack-of-all-trades-party-of-none-20333,https://cdn.noitatnemucod.net/thumbnail/1366x768/100/4e3ff3c84a8f72d159184d79bb7308e8.jpg,"""Orn Doula, today will be your last day in the party."" Orn, once a skilled Swordsman, had adapted to the role of Enchanter to fill a crucial gap in the Hero Party. However, one day, the party leader abruptly dismisses him, claiming his skills are lacking. Brander a ""weakling"" and a ""jack of all trades, master of none,"" by his former comrades, Orn is cast out without a second thought. Determined to start anew, he returns to adventuring—this time as a Swordsman, the role he originally excelled in. But his time as an Enchanter was far from wasted. The experience, knowledge, and countless original spells he developed in the Hero Party have forged him into a warrior unlike any other. Now, armed with an unconventional set of skills, Orn is ready to carve his own path—one that will prove his true strength to the world.",019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z,https://9animetv.to/home
20401,jujutsu-kaisen-the-culling-game-part-1-20401,Jujutsu Kaisen: The Culling Game Part 1,https://9animetv.to/watch/jujutsu-kaisen-the-culling-game-part-1-20401,https://cdn.noitatnemucod.net/thumbnail/1366x768/100/b59198c92059644bbadb214f275a116d.jpg,"Kenjaku, the one known as Noritoshi Kamo and most recently as Suguru Getou, has initiated the next step in his destructive, thousand-year plan of ordinary humans' evolution and eventual eradication. The jujutsu world higher-ups reinstate 15-year-old Yuuji Itadori's execution, as Satoru Gojou is incapacitated as a result of Kenjaku's master plan in Shibuya. While Yuuji is unaware of this, he patrols the abandoned Tokyo streets with Chousou, exterminating any and all cursed spirits in his way. Meanwhile, the bigoted and arrogant Naoya Zenin's pride takes a hit when Megumi Fushiguro is selected as the Zenin Clan's next head. To draw out Megumi and eliminate him, he goes after Yuuji—but Yuuta Okkotsu is set on being Yuuji's executioner. Kenjaku's ""Culling Game""—a rigorous battle royale spanning throughout Japan and forcing the jujutsu competitors to kill each other—is set in motion, and the young jujutsu sorcerers join the fray to settle old scores, free Gojou, and liberate the jujutsu world from the threat that is Kenjaku.",019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z,https://9animetv.to/home
20695,killed-again-mr-detective-20695,"Killed Again, Mr. Detective.",https://9animetv.to/watch/killed-again-mr-detective-20695,,,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z,https://9animetv.to/home
20728,kirio-fanclub-20728,Kirio Fanclub,https://9animetv.to/watch/kirio-fanclub-20728,,,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z,https://9animetv.to/home
19871,koalas-diary-19871,Koala's Diary,https://9animetv.to/watch/koalas-diary-19871,,,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z,https://9animetv.to/home
20758,komekami-girls-20758,Komekami! Girls,https://9animetv.to/watch/komekami-girls-20758,,,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z,https://9animetv.to/home
20734,kujima-why-sing-when-you-can-warble-20734,"Kujima: Why Sing, When You Can Warble?",https://9animetv.to/watch/kujima-why-sing-when-you-can-warble-20734,,,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z,https://9animetv.to/home
4999,majokko-megu-chan-4999,Majokko Megu-chan,https://9animetv.to/watch/majokko-megu-chan-4999,,,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z,https://9animetv.to/home
20716,monster-eater-20716,Monster Eater,https://9animetv.to/watch/monster-eater-20716,,,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z,https://9animetv.to/home
20397,my-star-season-3-20397,My Star Season 3,https://9animetv.to/watch/my-star-season-3-20397,,,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z,https://9animetv.to/home
355,naruto-shippuden-355,Naruto: Shippuden,https://9animetv.to/watch/naruto-shippuden-355,,,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z,https://9animetv.to/home
20309,noble-reincarnation-born-blessed-so-ill-obtain-ultimate-power-20309,"Noble Reincarnation: Born Blessed, So I'll Obtain Ultimate Power",https://9animetv.to/watch/noble-reincarnation-born-blessed-so-ill-obtain-ultimate-power-20309,,,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z,https://9animetv.to/home
100,one-piece-100,One Piece,https://9animetv.to/watch/one-piece-100,https://cdn.noitatnemucod.net/thumbnail/1366x768/100/db8603d2f4fa78e1c42f6cf829030a18.jpg,"Gold Roger was known as the ""Pirate King,"" the strongest and most infamous being to have sailed the Grand Line. The capture and execution of Roger by the World Government brought a change throughout the world. His last words before his death revealed the existence of the greatest treasure in the world, One Piece. It was this revelation that brought about the Grand Age of Pirates, men who dreamed of finding One Piece—which promises an unlimited amount of riches and fame—and quite possibly the pinnacle of glory and the title of the Pirate King. Enter Monkey Luffy, a 17-year-old boy who defies your standard definition of a pirate. Rather than the popular persona of a wicked, hardened, toothless pirate ransacking villages for fun, Luffy's reason for being a pirate is one of pure wonder: the thought of an exciting adventure that leads him to intriguing people and ultimately, the promised treasure. Following in the footsteps of his childhood hero, Luffy and his crew travel across the Grand Line, experiencing crazy adventures, unveiling dark mysteries and battling strong enemies, all in order to reach the most coveted of all fortunes—One Piece. \[Written by MAL Rewrite\]",019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z,https://9animetv.to/home
20629,petals-of-reincarnation-20629,Petals of Reincarnation,https://9animetv.to/watch/petals-of-reincarnation-20629,,,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z,https://9animetv.to/home
19600,princession-orchestra-19600,Princession Orchestra,https://9animetv.to/watch/princession-orchestra-19600,,,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z,https://9animetv.to/home
20569,rezero-starting-life-in-another-world-season-4-20569,Re:ZERO -Starting Life in Another World- Season 4,https://9animetv.to/watch/rezero-starting-life-in-another-world-season-4-20569,,,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z,https://9animetv.to/home
20013,reborn-as-a-cat-20013,Reborn as a Cat,https://9animetv.to/watch/reborn-as-a-cat-20013,,,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z,https://9animetv.to/home
20237,reincarnated-as-a-dragon-hatchling-20237,Reincarnated as a Dragon Hatchling,https://9animetv.to/watch/reincarnated-as-a-dragon-hatchling-20237,,,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z,https://9animetv.to/home
20385,sentenced-to-be-a-hero-20385,Sentenced to Be a Hero,https://9animetv.to/watch/sentenced-to-be-a-hero-20385,https://cdn.noitatnemucod.net/thumbnail/1366x768/100/ef70f1c65001ba1aaaa7c190447e7266.jpg,"""Hero"" is the worst punishment in the world. Those convicted of heinous crimes are sentenced to become ""Heroes"" and forced to enter the mandatory military service in the war against the Demon Lords. These convicts are not even allowed to die—if killed, they will be resurrected to fight another day. Hero Xylo Forbartz, former head of the Order of the Holy Knights, leads a penal unit of deplorables fighting on the front lines. It is in these direst of circumstances that he meets Teoritta, one of the world's strongest weapons. ""When every last enemy has been defeated, you are to shower me with praise and pat my head."" In order to survive and to take revenge on those who wronged him, he makes a pact with the goddess and launches headfirst into a maelstrom of war and intrigue.",019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z,https://9animetv.to/home
20572,that-time-i-got-reincarnated-as-a-slime-season-4-20572,That Time I Got Reincarnated as a Slime Season 4,https://9animetv.to/watch/that-time-i-got-reincarnated-as-a-slime-season-4-20572,,,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z,https://9animetv.to/home
20602,the-beginning-after-the-end-season-2-20602,The Beginning After the End Season 2,https://9animetv.to/watch/the-beginning-after-the-end-season-2-20602,,,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z,https://9animetv.to/home
20029,the-gate-of-mystical-realm-20029,The Gate of Mystical Realm,https://9animetv.to/watch/the-gate-of-mystical-realm-20029,,,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z,https://9animetv.to/home
20161,the-outcast-6-20161,The Outcast 6,https://9animetv.to/watch/the-outcast-6-20161,,,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z,https://9animetv.to/home
20656,the-ramparts-of-ice-20656,The Ramparts of Ice,https://9animetv.to/watch/the-ramparts-of-ice-20656,,,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z,https://9animetv.to/home
20674,the-strongest-job-is-apparently-not-a-hero-or-a-sage-but-an-appraiser-provisional-20674,"The Strongest Job is Apparently Not a Hero or a Sage, but an Appraiser (Provisional)!",https://9animetv.to/watch/the-strongest-job-is-apparently-not-a-hero-or-a-sage-but-an-appraiser-provisional-20674,,,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z,https://9animetv.to/home
20605,the-warrior-princess-and-the-barbaric-king-20605,The Warrior Princess and the Barbaric King,https://9animetv.to/watch/the-warrior-princess-and-the-barbaric-king-20605,,,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z,https://9animetv.to/home
20341,there-was-a-cute-girl-in-the-heros-party-so-i-tried-confessing-to-her-20341,"There was a Cute Girl in the Hero's Party, so I Tried Confessing to Her",https://9animetv.to/watch/there-was-a-cute-girl-in-the-heros-party-so-i-tried-confessing-to-her-20341,https://cdn.noitatnemucod.net/thumbnail/1366x768/100/2bdb0238afa875060c7ab05f3f9adbd6.jpg,"Youki died in a traffic accident and was reborn in a fantasy world! However, instead of being the hero of legends, he ended up reincarnating into an overpowered demon. Having no desires to become the Demon Lord, he sits around in the Demon Lord's castle as a random low rank guardian. One day, the Hero's party comes to attack and on a whim he knocks out the entire hero party. Healing up the Hero party and then preparing to send them back to town, he notices the female priest and falls in love at first sight!",019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z,https://9animetv.to/home
1839,tico-and-friends-1839,Tico and Friends,https://9animetv.to/watch/tico-and-friends-1839,,,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z,https://9animetv.to/home
20578,witch-hat-atelier-20578,Witch Hat Atelier,https://9animetv.to/watch/witch-hat-atelier-20578,,,019d731d-e914-75a2-b0ee-005770eec5da,2026-04-09T16:40:32.814Z,https://9animetv.to/home
